lemma,sedes,x,z
ἄκλαυστος,8,1,-1.7739826805604
ἄκλειστος,3,1,
ἄκληρος,3,2,
ἄκλητος,1,2,
ἄκλυστος,1,2,-1.4142135623731
ἄκλυστος,3,4,+0.707106781186547
ἄκμηνος,1,3,+0.816496580927726
ἄκμηνος,3,1,-1.22474487139159
ἄκμηνος,7,1,-1.22474487139159
ἄκμητος,1,1,-1.4142135623731
ἄκμητος,3,2,+0.707106781186547
ἄκμων,1,5,-0.807663069040709
ἄκμων,3,2,-1.62471756911677
ἄκμων,7,7,-0.262960068989998
ἄκμων,9,3,-1.35236606909142
ἄκμων,11,12,+1.09879743113678
ἄκνηστις,3,1,
ἄκνηστις,7,1,
ἄκοιτις,4.5,11,-2.1320071635561
ἄκοιτις,10.5,50,+0.469041575982343
ἄκολος,4,2,
ἄκος,4,1,-1.38040277130395
ἄκος,6,1,-1.38040277130395
ἄκος,6.5,2,-0.815692546679606
ἄκος,8,5,+0.878438127193422
ἄκοσμος,4.5,1,
ἄκοσμος,6.5,1,
ἄκουρος,2.5,1,
ἄκρα,1,5,-1.52005782560549
ἄκρα,4,5,-1.52005782560549
ἄκρα,6,1,-1.86422186159164
ἄκρα,10.5,1,-1.86422186159164
ἄκρα,11,30,+0.630967399307939
ἄκραντος,8.5,1,
ἄκρατος,1,1,-1.63299316185545
ἄκρατος,3,6,+0.861857502090378
ἄκρατος,7,3,-0.63505289627712
ἄκρατος,10.5,1,-1.63299316185545
ἄκρις,1,2,-1.41421356237309
ἄκρις,7,8,+0.707106781186547
ἄκρις,9,2,-1.41421356237309
ἄκριτος,1,5,-1.8948063917287
ἄκριτος,7,10,+0.749109503706694
ἄκριτος,9,9,+0.220326324619616
ἄκρον,1,21,-0.7336127179982
ἄκρον,2,1,-1.85534470270493
ἄκρον,3,18,-0.90187251570421
ἄκρον,5,4,-1.68708490499892
ἄκρον,9,51,+0.948985259061892
ἄκρον,11,5,-1.63099830576358
ἄκρος,1,54,+0.28320478561524
ἄκρος,2,1,-2.63188483935808
ἄκρος,2.5,2,-2.57688314832085
ἄκρος,3,53,+0.228203094578008
ἄκρος,4.5,1,-2.63188483935808
ἄκρος,5,13,-1.97186454691129
ἄκρος,6,2,-2.57688314832085
ἄκρος,7,18,-1.69685609172513
ἄκρος,8,2,-2.57688314832085
ἄκρος,9,40,-0.486818888906015
ἄκρος,10,1,-2.63188483935808
ἄκρος,11,68,+1.0532284601365
ἄκτινος,3,3,
ἄκτιον,1,1,
ἄκτιον,7,1,
ἄκτιτος,7,1,
ἄκτωρ,3,1,-1
ἄκτωρ,7,1,-1
ἄκτωρ,9,2,+1
ἄκυθος,4,1,
ἄκυλος,2,1,
ἄκυλος,4,1,
ἄκυλος,6,1,
ἄκων,4.5,14,-1.53529894715748
ἄκων,10.5,33,+0.65133894727893
ἄλαλκε,4.5,4,-1.68094657718466
ἄλαλκε,6.5,7,-0.373543683818814
ἄλαλκε,10.5,10,+0.933859209547036
